,run,accuracy,roc_auc,FNR,FPR,accuracy_diff,roc_auc_diff,FNR_diff,FPR_diff,fnr_chi2_pvalue,fpr_chi2_pvalue,beta2,beta2_pvalue,accuracy_corrected,roc_auc_corrected,FNR_corrected,FPR_corrected,accuracy_corrected_diff,roc_auc_corrected_diff,FNR_corrected_diff,FPR_corrected_diff
25,25,0.8839285714285714,0.9382538541417047,0.1308411214953271,0.10256410256410256,-0.02195121951219514,-0.03834463408931488,0.06137479541734861,-0.006382978723404251,0.8600464808235969,1.0,0.16752402630173308,0.0717224318151568,0.8839285714285714,0.9382538541417047,0.1308411214953271,0.10256410256410256,-0.02195121951219514,-0.03834463408931488,0.06137479541734861,-0.006382978723404251
26,26,0.8482142857142857,0.9071012061666266,0.16822429906542055,0.13675213675213677,-0.0897959183673469,-0.05857752489331436,0.0017543859649122862,0.12094594594594593,1.0,0.13854463631822408,-0.5877213126693371,1.9984014443252818e-15,0.7991071428571429,0.8836967808930425,0.16822429906542055,0.23076923076923078,0.05632653061224491,-0.05857752489331436,-0.9368421052631579,0.3375
27,27,0.8616071428571429,0.9251537662752616,0.102803738317757,0.17094017094017094,0.012854030501089353,0.005883889968192335,-0.1893939393939394,0.08642363293526086,0.15127420370372754,0.3459161433495871,-0.059391319238568226,0.5689775765730669,0.8616071428571429,0.9251537662752616,0.102803738317757,0.17094017094017094,0.012854030501089353,0.005883889968192335,-0.1893939393939394,0.08642363293526086
28,28,0.8258928571428571,0.8954389328221104,0.17757009345794392,0.17094017094017094,0.003060183611016676,0.0408480944712829,-0.2586956521739131,0.12654320987654322,0.03875549263104165,0.1579258242751255,0.2464582267486811,0.019889690272427707,0.8080357142857143,0.8848150810767634,0.24299065420560748,0.1452991452991453,0.03071517624390796,0.0408480944712829,-0.10507246376811594,-0.030864197530864196
29,29,0.8482142857142857,0.9168463934819074,0.19626168224299065,0.1111111111111111,-0.053594771241829986,0.03944360902255639,-0.24824561403508774,0.1361904761904762,0.09802866365407856,0.052143436866569394,0.07550367709567388,0.47056538421035077,0.8482142857142857,0.9168463934819074,0.19626168224299065,0.1111111111111111,-0.053594771241829986,0.03944360902255639,-0.24824561403508774,0.1361904761904762
30,30,0.875,0.9366562824506749,0.11214953271028037,0.13675213675213677,0.08724553385957623,0.02185170030914707,-0.0474631751227496,-0.10277777777777779,0.968541075873384,0.19442352839020174,-0.1705833327279643,0.10639761943766257,0.875,0.9366562824506749,0.11214953271028037,0.13675213675213677,0.08724553385957623,0.02185170030914707,-0.0474631751227496,-0.10277777777777779
31,31,0.84375,0.9023084910935378,0.14953271028037382,0.1623931623931624,0.021811383464894085,0.00339151920930969,-0.10196078431372549,0.024711168164313235,0.4774699159870823,0.9337910301824374,-0.9813738259739082,0.0,0.7857142857142857,0.8347312085629842,0.2336448598130841,0.19658119658119658,0.10635646032405488,0.00339151920930969,-0.9111111111111111,0.3026315789473684
32,32,0.8660714285714286,0.9133317357616423,0.1308411214953271,0.13675213675213677,0.008614350246874625,0.04410331384015609,-0.04035087719298244,0.005555555555555564,1.0,1.0,0.0608862869023931,0.5586877448160306,0.8660714285714286,0.9133317357616423,0.1308411214953271,0.13675213675213677,0.008614350246874625,0.04410331384015609,-0.04035087719298244,0.005555555555555564
33,33,0.84375,0.9146896716990174,0.14018691588785046,0.17094017094017094,-0.02459480902187472,-0.01297348484848504,-0.046401515151515166,0.06980519480519481,1.0,0.48861210256911536,0.05180492946741261,0.622227319658003,0.84375,0.9146896716990174,0.14018691588785046,0.17094017094017094,-0.02459480902187472,-0.01297348484848504,-0.046401515151515166,0.06980519480519481
34,34,0.8392857142857143,0.9140107037303299,0.14953271028037382,0.17094017094017094,-0.06316001206879207,0.01191293264045501,-0.15668202764976957,0.1790273556231003,0.25818706289981513,0.023127240022851377,-0.19459051182785522,0.06799249903042104,0.8392857142857143,0.9140107037303299,0.14953271028037382,0.17094017094017094,-0.06316001206879207,0.01191293264045501,-0.15668202764976957,0.1790273556231003
