,run,accuracy,roc_auc,FNR,FPR,accuracy_diff,roc_auc_diff,FNR_diff,FPR_diff,beta2,beta2_pvalue,accuracy_corrected,roc_auc_corrected,FNR_corrected,FPR_corrected,accuracy_corrected_diff,roc_auc_corrected_diff,FNR_corrected_diff,FPR_corrected_diff
12,12,0.8482142857142857,0.9154884575445323,0.11214953271028037,0.18803418803418803,0.04400871459694988,0.05144914046552229,-0.2072164948453608,0.04638854296388542,0.07728766972112945,0.457997159632364,0.8482142857142857,0.9154884575445323,0.11214953271028037,0.18803418803418803,0.04400871459694988,0.05144914046552229,-0.2072164948453608,0.04638854296388542
13,13,0.8705357142857143,0.9293873312564901,0.14018691588785046,0.11965811965811966,0.010087271902980754,0.047368421052631615,-0.029824561403508754,-0.012820512820512803,0.5062499362535842,3.776666890331626e-08,0.7857142857142857,0.8428788241872354,0.2523364485981308,0.1794871794871795,0.10336620197211832,0.047368421052631615,0.28421052631578947,-0.3076923076923077
14,14,0.8928571428571429,0.9476795271187795,0.12149532710280374,0.09401709401709402,0.015613764766307159,0.06102150537634399,-0.024577572964669725,-0.027777777777777776,0.2626548777879115,0.014621158453513416,0.84375,0.9015895838325745,0.17757009345794392,0.13675213675213677,0.11001540832049306,0.06102150537634399,0.03993855606758834,-0.2111111111111111
15,15,0.8705357142857143,0.9306653886093138,0.11214953271028037,0.1452991452991453,-0.13130081300813012,-0.054788647342995156,0.052898550724637686,0.19999999999999998,-0.17348113727039344,0.10104935479566368,0.8705357142857143,0.9306653886093138,0.11214953271028037,0.1452991452991453,-0.13130081300813012,-0.054788647342995156,0.052898550724637686,0.19999999999999998
16,16,0.875,0.9563064142503395,0.056074766355140186,0.18803418803418803,0.04125580868185419,0.0198593073593073,-0.038825757575757576,0.019805194805194826,-0.09977108673571107,0.3356264034165739,0.875,0.9563064142503395,0.056074766355140186,0.18803418803418803,0.04125580868185419,0.0198593073593073,-0.038825757575757576,0.019805194805194826
17,17,0.8705357142857143,0.9429666906302421,0.102803738317757,0.15384615384615385,-0.005952380952380931,0.007532868916797497,-0.17307692307692307,0.11980519480519482,0.946949693707541,0.0,0.59375,0.6920680565540378,0.4485981308411215,0.36752136752136755,0.4107142857142857,0.007532868916797497,0.5274725274725275,-0.961038961038961
18,18,0.8660714285714286,0.9250738876907101,0.19626168224299065,0.07692307692307693,-0.012499999999999956,0.004976907150820109,-0.21016483516483517,0.05978260869565218,0.21487097015858742,0.04340333756076231,0.8348214285714286,0.8977554117741035,0.21495327102803738,0.11965811965811966,0.009375000000000022,0.004976907150820109,0.10576923076923078,-0.11503623188405797
19,19,0.8705357142857143,0.9296669063024203,0.14953271028037382,0.1111111111111111,-0.005681818181818232,-0.009230831708901932,-0.3008771929824562,0.12037037037037036,0.25466515658935784,0.015012319618857628,0.8616071428571429,0.9166067577282531,0.18691588785046728,0.09401709401709402,-0.07007575757575757,-0.009230831708901932,0.022807017543859665,0.05555555555555555
20,20,0.8571428571428571,0.9206805655403786,0.1308411214953271,0.15384615384615385,0.0,0.01739646909117476,-0.1137479541734861,0.05939660590823383,0.017548726655513474,0.8692673601590615,0.8571428571428571,0.9206805655403786,0.1308411214953271,0.15384615384615385,0.0,0.01739646909117476,-0.1137479541734861,0.05939660590823383
21,21,0.8660714285714286,0.934180046329579,0.18691588785046728,0.08547008547008547,-0.002427452278495057,0.04616873774971275,-0.17028985507246375,0.04863424383744171,0.6385814259951897,0.0,0.7455357142857143,0.811806054796709,0.2897196261682243,0.2222222222222222,0.23513185479421828,0.04616873774971275,0.33695652173913043,-0.5672884743504331
22,22,0.8482142857142857,0.9184839044652127,0.102803738317757,0.19658119658119658,0.039223574373931425,0.0018027454655714648,-0.10721649484536083,0.035650623885918,0.24495642084367622,0.019492230549006395,0.8125,0.877146736959821,0.102803738317757,0.26495726495726496,0.17037111535753802,0.0018027454655714648,0.003092783505154628,-0.1559714795008913
23,23,0.8571428571428571,0.9255531591980191,0.14018691588785046,0.1452991452991453,0.03461954561846381,0.048941209250487616,-0.28659793814432993,0.05439189189189189,0.8112337066909778,0.0,0.6741071428571429,0.7363207923955587,0.40186915887850466,0.2564102564102564,0.3145810794566654,0.048941209250487616,0.44329896907216493,-0.6922297297297297
